query,review_link,review_title,review_text,review_date,review_timestamp,author_title,review_rating,review_media,owner_title,owner_response
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r948340715-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Lovely spot for a walk,A lovely beach to visit in Newcastle. It was very choppy the day we visited but it was still spectacular to see the surfers do their thing and see the powerful waves crash to shore.<br />The bluff near the baths have interesting rocks to look at if you are interested in geology. Observed a few fossils and the rock pool great for kids. <br />,Written 26 April 2024,1714089600,AustTrail,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r884241707-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Lovely beach,A couple of parking spaces in the parking and along the street. Clean beach with a cafe at the edge and also lifeguards and surfers. Perfect to just sit and watch or to wet your feet.,Written 31 March 2023,1680220800,yazitravels,3,"https://media-cdn.tripadvisor.com/media/photo-w/28/b2/28/ad/merewether-beach.jpg, https://media-cdn.tripadvisor.com/media/photo-w/28/b2/28/ac/merewether-beach.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r868080157-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Worth a visit,What a stunning location - we loved the look out with the faux grass perfect for picnics - parking is more challenging but definitely worth  a visit,Written 11 November 2022,1668124800,lkamphuis,5,"https://media-cdn.tripadvisor.com/media/photo-w/26/d6/67/71/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/26/d6/67/70/caption.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r831519624-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Not worth it,"I lived here in 2022. This beach was really horrible. Superficial people, a beach destroyed by a disgusting beach club and a pub across the road full of superficial tossers.",Written 18 March 2022,1647561600,Thomas E,1,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r823993340-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Heavy Shore Breaking Waves made it Difficult to Enjoy the Surf,"We visited this beach every day for a week. The shore break made it dangerous for anyone who was not good swimmer. Relief came from splashing in the wash. The facilities at the beach precinct are vey good, so a reasonably pleasant hour or two could be had here, but not so much in the water.  ",Written 4 January 2022,1641254400,RetireeBob,3,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r813272322-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Oar sum,Excellent place for a walk and a swim. Was surprised there was so much parking available. Scenic and serene. One of the best parts of Newy,Written 6 October 2021,1633478400,Oscar Smith,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r805917668-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Such a beautiful spot,Bought lunch from Swell Kiosks and spent a few hours Merewether Beach watching our daughter playing with sand building. Such a beautiful spot.,Written 23 August 2021,1629676800,Victor P,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r796075521-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Best beach,"I love this beach as do my family, beautiful clean beach and friendly locals. Def a must visit attraction and the bathes, ",Written 8 July 2021,1625702400,natasha k,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r788202215-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Parking is a nightmare!,Don’t expect to come down here on a sunny weekend day and expect to park. Took us almost an hour to find a space. And that was just down to luck as we saw someone leaving. But the beach....wow.....it’s incredible.,Written 7 May 2021,1620345600,Aaron S,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r786884523-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Great beach section,"Very busy beach area. The facilities were very busy as it was a nice day, but lots of toilets and showers. Still room on the beach. Stunning coastal walk along from Nobbys head",Written 20 April 2021,1618876800,den003,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r781441956-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Beautiful Beach,"Visited Merewether Beach recently for the first time & it was lovely.  It is patrolled by life guards.  Parking isn't that great, there is no car park so need to find street parking.  The surf club is amazing with a restaurant and a cafe down on beach level.  Easy to stay for the whole day.",Written 19 January 2021,1611014400,Lee-Anne S,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r781116201-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Summer Australian Style,Merewether beach is a great example of a typical Australian beach. The water is clean and bracing and it is never really that crowded.<br /><br />There is also a large ocean pool.,Written 13 January 2021,1610496000,Raymond W,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r780070792-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Excellent ,"Easy to get a park, and the ocean baths were fantastic. Great for walking, swimming or dining. Scenic place",Written 28 December 2020,1609113600,Oscar Smith,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r776010869-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Stunning views and great food,"Lovely lunch at Merewether Surf House today, prawn pizza and a cocktail in the sunshine. Nothing better!",Written 30 October 2020,1604016000,Christine T,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r776003580-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Walk the promenade and enjoy the view,"There are actually 3 beaches here with one long promenade, Merewether, Bar & Dixon Park beach. Views of the headland are spectacular as you want the promenade. Plenty of places to stop for coffee or brunch as you watch the surfers.",Written 30 October 2020,1604016000,Terry D,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/40/b7/62/view-3.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/40/b7/58/view-2.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/40/b7/56/baths.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/40/b7/53/view-1.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/40/b7/52/brunch.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r775702812-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,One of the beat beaches in Australia!,"From the beach to the wonderful ocean baths, Merewether Beach is amazing all times of the year. We’ve smashed out fitness goals in winter with that long set of stairs and cold water swims, to cooling off in Summer with a splash in the waves. Great to watch the coal ships go past and we always seem to see at least 2 aircraft. A busy and friendly place that we’d recommended visiting if you’re looking for a beach along the Newcastle coastline. ",Written 26 October 2020,1603670400,Adventure Unplanned,5,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/3d/46/36/photo0jpg.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r773388510-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,Such a Beautiful Beach and Ocean View,"A visit to Merewether Beach is must if you are visiting Newcastle - around 2kms away from the CBD it is a lovely beach. Long stretch of beach and an amazing ocean bath and pools. Paved so you can walk on a path or better if you want to walk along the sand or along the water. Great place for families and the ocean baths have lots of spaces suitable for toddlers, little kids, youth and adult. Such a nice atmosphere and lovely cafe with good food selection and coffee. Can sit and enjoy the views all day here.",Written 7 October 2020,1602028800,MosesPH,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/23/0a/dc/you-can-even-swim-laps.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/23/0a/db/huge-ocean-bath.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/23/0a/da/ocean-baths.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/23/0a/d9/ocean-view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/23/0a/ce/merewether-beach.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g255325-d3246009-Reviews-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g255325-d3246009-r771651357-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html,One of the best views on the East Coast,"This has to be one of the best beaches on the east coast, great views, great surf and great coffee from the Blue Door Kiosk, Coffee with a View!",Written 24 September 2020,1600905600,BarryH1966,5,,,
