query,business_name,review_rating,review_text,review_photos,datetime_utc,timestamp,review_id,author_title,author_friend_count,author_photo_count,author_reviews_count,author_location,author_image,author_id,author_url,owner_reply,owner_reply_title,owner_reply_datetime_utc,owner_reply_timestamp,next_page_cursor,review_tags_helpful,review_tags_thanks,review_tags_love_this,review_tags_oh_no
https://www.yelp.com/biz/huntington-beach-huntington-beach,Huntington Beach,5,"If you want night out to explore some gentle pyromania, HB has plenty of fire pits accessible. Parking is $15 on the lot, $3.5/hr on the street. 

Bring a jacket.","https://s3-media0.fl.yelpcdn.com/bphoto/BDj0mHGqe8TGbfJX_JXRSw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/EX0MMnzs2FC5W1_DzhTz4Q/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/dLEUIFu33eF3YGZ3BYO5IQ/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/y43pFLXfulrS9MjfRYxM8A/348s.jpg",05/22/2024 21:31:17,1716413477,zwSQmX731zsXKxMwSB0e2Q,Lindy K.,6,94,84,"Irvine, CA",https://s3-media0.fl.yelpcdn.com/photo/-AMGauXlRsrO4CZMbi4EHg/180s.jpg,VjgICtDQXO1aNcXIF-THrA,https://www.yelp.com/user_details?userid=VjgICtDQXO1aNcXIF-THrA,,,,,,0,0,0,0
https://www.yelp.com/biz/huntington-beach-huntington-beach,Huntington Beach,5,"Huntington Beach can be a little crowded at times, but I love coming here when I am Orange County. I love the beach culture and the vibes here. I don't surf, but I like to ride my longboard on the boardwalk and float on my boogie board. Huntington Breach is a 10 mile long stretch of sandy beaches and is nicknamed ""Surf City"". Newport Beach is just south of this area. One of the world's largest surf competition called The US Open of Surfing takes place here in the summer. 

The waves can be a little stronge at times, but I love it. I love the workout fighting the waves and have caught some good ones on my boogie board. I like to walk on the pier and watch all of the other surfers on their boards and the sunset. Downtown Huntington Beach is pretty cool. There are lots of places to shop and eat at. I will usually pick up a few items at a surf shop and then grab some Wahoo's after a long day at the beach. They have an Artisan Fair on Fridays and occasional weekends where you can pick up some local artwork. Parking isn't too bad on the weekdays if you get here early enough. Weekends can be more challenging. 

Huntington Beach is home to the Huntington Beach International Surfing Museum. There is lots of memorabilia here if you enjoy surf history.","https://s3-media0.fl.yelpcdn.com/bphoto/Z_N65OXUysRruflr8_898w/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/5q0c4sSavM7on92TpMCd_Q/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/OOYN5s_rQbauHDEy857y3w/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/asSuVC594cnm7WHncqpBoQ/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/rdHAMqlwekywCf0wrB3ODg/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/naZImSUXGNDolTZLArWyHA/348s.jpg",04/13/2024 21:53:12,1713045192,FfuYvUvnpd6URJrPx_kfWg,Travis T.,509,11273,1417,"Chandler, AZ",https://s3-media0.fl.yelpcdn.com/photo/PyNg-SMvUgtGm9ndhHYE7w/180s.jpg,XPZVfP7DQCSL3Nb9t2vxsA,https://www.yelp.com/user_details?userid=XPZVfP7DQCSL3Nb9t2vxsA,,,,,,8,2,7,0
https://www.yelp.com/biz/huntington-beach-huntington-beach,Huntington Beach,5,"Honestly best beach we've been to here. It was very clean, easy parking, bathrooms, and a children's playground. It was so much fun and so very convenient.","https://s3-media0.fl.yelpcdn.com/bphoto/wDrbj9Dbcyggjy_a2P3yhw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/CTgtWw66U21vyyfMAReYAA/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/OxR0eYGlhyXXw6BvSU_EZg/348s.jpg",03/22/2024 03:53:46,1711079626,iBKth32mrVGI80hcDkre3A,Courtney H.,79,396,182,"Idaho Falls, ID",https://s3-media0.fl.yelpcdn.com/photo/m6StF6-jxTTwkoZlMN9K2g/180s.jpg,-ypAPi0o4O5Mk3oA_IEAQA,https://www.yelp.com/user_details?userid=-ypAPi0o4O5Mk3oA_IEAQA,,,,,,1,0,0,0
https://www.yelp.com/biz/huntington-beach-huntington-beach,Huntington Beach,5,"Okay but who made it to Adrian's kickback ???? Anybody actually show up to the tik tok frenzy ? 
It was crazy ! As I was driving buy I saw many stores you could walk to - love the organization at night when vehicles have to leave",https://s3-media0.fl.yelpcdn.com/bphoto/3utN0LUsDcq4vpIeuc5uOg/348s.jpg,12/08/2023 03:27:54,1702006074,CR0iBXkk5c-XFks97SpRDw,Daisy R.,147,326,107,"South Los Angeles, Los Angeles, CA",https://s3-media0.fl.yelpcdn.com/photo/RYqxZBV60Y97Rh9r9nre4Q/180s.jpg,xEXNifrZun_0VPH_45DuGw,https://www.yelp.com/user_details?userid=xEXNifrZun_0VPH_45DuGw,,,,,,1,0,1,0
https://www.yelp.com/biz/huntington-beach-huntington-beach,Huntington Beach,5,"Location & parking: I generally park on the street or near the neighborhoods, free and have never had an issue. The walk over to the beach is less that 5 mins. 

Vibes: Depends on the day you go and the time, the crowd can vary significantly but these last two times I've gone during the summer evenings It's been great vibes. 

Experience: Going with a group of friends and hanging near the fire pits has been a highlight of the summer season so far. Staking out a pit can be a bit of a waiting game but if you go at the right time, early evening during the week it's no issue. Even on a holiday weekend, you can wait on a group to leave and you'll be fine. The pits are spaced out enough for a group to do their own thing and have their music playing. Beach closes at 10pm and the security is pretty on it. No complaints though. I'm not too sure about the pier, promenade, or other parts of the beach since I mostly stayed near the pits but I recommend it to anyone.","https://s3-media0.fl.yelpcdn.com/bphoto/Zkt_EaUNU-zaxGNuXiN-ew/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/Kf3ElgNU81yFZj5_41oNNg/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/v238OwT-A8yEzmG0ml47Xw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/XnaSM5QXyARiFndn9FUOlw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/BRpIfR7not5W2cCJNJG_1g/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/EyL7Uwnvi3M-FLREW5TQEg/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/5JZV_XEqRgr0OJUJWNo9Vw/348s.jpg",07/20/2023 01:49:05,1689817745,bHSqoqPLlkfl6CvJtC3e7Q,Lyna K.,37,364,114,"Los Angeles, CA",https://s3-media0.fl.yelpcdn.com/photo/fEppceeHYri8uAIkIwzRPQ/180s.jpg,IWVLQkycvtbPnIPE0nongQ,https://www.yelp.com/user_details?userid=IWVLQkycvtbPnIPE0nongQ,,,,,,2,0,0,0
https://www.yelp.com/biz/huntington-beach-huntington-beach,Huntington Beach,5,"Decided to take my parents to the ocean, since they've never been to the west coast. 
it was oddly PACKED and many parking lots were full. we finally spotted street parking and were able to take it just in time. 2 hours was about $7, not too bad. we were super confused as to why it was so busy and before we knew it we were in the middle of an air show! the pacific air show?? I had no idea it was going on so it was a huge surprise and success for an outing!
now we understood why it was so packed. 
even with how packed it was, we enjoyed ourselves. they had emergency vehicle ""roads"" marked out on the sand with caution tape, which made us feel extremely safe. pretty organized event. which there would have been more table and chairs around for my parents, we ended up having to leave before the air show ended because they were hungry but they didn't want to stand up and eat at the food trucks or the little food stands that were around. 

this is actually the second time I have randomly gone to huntington beach to find myself in the middle of the pacific air show. it was super cool and hope to one day be able to experience the entire thing, beginning to end!

As for the beaches and streets, they were pretty clean. enough police around to feel safe but not entirely overwhelmed. wish I could have taken my mom to feel the ice cold pacific water but too many people around and the way the waves had been hitting the sand, it was like a huge DIP before getting to any water.",https://s3-media0.fl.yelpcdn.com/bphoto/mNc_XKTFlrydvxLd9ZZtYQ/348s.jpg,10/01/2023 02:11:13,1696126273,VfKs0Cf7FPoT1uIUCVt6dQ,Ursina O.,66,81,150,"Lake Elsinore, CA",https://s3-media0.fl.yelpcdn.com/photo/XiT6OQko8TkxaoFuzyXjBg/180s.jpg,eQv77Qjh1ia4kNYgtp8y5A,https://www.yelp.com/user_details?userid=eQv77Qjh1ia4kNYgtp8y5A,,,,,,2,0,0,0
https://www.yelp.com/biz/huntington-beach-huntington-beach,Huntington Beach,5,"This is one of our favorite beach spots when we come to Southern California. We love walking through the shops, eating the food, stopping at the beach bars, playing in the ocean, and just having a great time people watching, and also watching some of the best sun sets on the pier.","https://s3-media0.fl.yelpcdn.com/bphoto/9BV9TBg7h3sXV_pRs9vLsw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/PjhwNrmh8TJSK8j3v1qv_A/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/iUens2QVtwnJBN3s0p07RA/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/V-vVWEWoBivNJ6ZkE5hFiQ/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/Zlrgdz9Cu67VKiBvtx0sCQ/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/XZYrgmQeQFsg54puXaV5qw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/TOzJVIYfJdtphgE6wQpWvA/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/x78Qwhzy1N6jkhUi5EtmIg/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/VcvGNLLLaC_kgiNnpvj6fQ/348s.jpg",09/05/2023 16:57:38,1693933058,0Ty9ni5QpW0cwZUii4wB0A,Kristy W.,429,1061,706,"Eugene, OR",https://s3-media0.fl.yelpcdn.com/photo/6ZerfAx775m6gMz6DJToJw/180s.jpg,wvc-FKlmHEK5d2lrKSuyhA,https://www.yelp.com/user_details?userid=wvc-FKlmHEK5d2lrKSuyhA,,,,,,1,0,0,0
https://www.yelp.com/biz/huntington-beach-huntington-beach,Huntington Beach,5,"We came to the beach for fun in the sun The area of the beach we met at was near Main Street. Nice beach! We saw volleyball going on and there is a paved bike trail where you can ride your bike, skate or walk. The beach has paid parking and street parking. I parked in a ""Public Parking"" structure. Get ready for crowds! There are a lot restaurants in walking distance of the beach, bike rentals, street performers, and Farmers  Market. We came on a Tuesday so I don't know if the Farmers Market is there every day. We also saw a band playing. Main Street itself was closed for the festivities. If you don't have anything to do. Have a beach day in Huntington Beach.","https://s3-media0.fl.yelpcdn.com/bphoto/XvRHdXZ1NoLc1GOkWj848g/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/KY4EPK8SRbSgEdnB3aWU_A/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/zSR35RStR9phY-ork9M4Iw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/Loeprn3NlipfnmGrTCVlWw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/a9ZwcSsaM2AEev8c2-EyQw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/2Et6yKHuW81WsDi82ucshw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/MwSxj-mX2yhgyDwQSVRy2g/348s.jpg",07/01/2023 20:54:54,1688244894,nr3VpIUvjFqFllSF74_0UA,Amber M.,745,1812,368,"Anaheim, CA",https://s3-media0.fl.yelpcdn.com/photo/M8fXTLGhYgvGQvMMCkOMWQ/180s.jpg,MHT740Dbu5mfcsw4l2fe3g,https://www.yelp.com/user_details?userid=MHT740Dbu5mfcsw4l2fe3g,,,,,,3,0,2,0
https://www.yelp.com/biz/huntington-beach-huntington-beach,Huntington Beach,4,"Summer is almost here time to start shedding those extra pounds ( allot of shedding to do ) lol
This location is so beautiful to walk , run , bike ride or swim. Melting pot of people . Only giving it 4 stars only because it's a little more dirty then some of the beaches I've been too . But it's easily overlooked by the great views!",https://s3-media0.fl.yelpcdn.com/bphoto/hzyFe68k7bI1_sjHxGZ6oA/348s.jpg,04/30/2023 21:27:24,1682890044,utlU3U2YF8ZwE1uQ2NdFNA,Cris A.,172,523,72,"Downey, CA",https://s3-media0.fl.yelpcdn.com/photo/hu0g-ffaa-lSZTmow10BGg/180s.jpg,nqusZh7nhEPcmW4L2qVL1w,https://www.yelp.com/user_details?userid=nqusZh7nhEPcmW4L2qVL1w,,,,,,2,0,1,0
https://www.yelp.com/biz/huntington-beach-huntington-beach,Huntington Beach,5,"Just discovered Huntington Beach. I'm now a believer and will be back. It's everything I want in a beach. 
 $15 bucks to park all day, restrooms, snacks and tons of parking plus beach goes on for miles so plenty of places to sit, read and daydream while watching the waves, never feels crowded and sand is soft.",,03/19/2024 20:43:59,1710881039,5Ph27y_zn9YJSZGD-rRQ4g,Dave M.,1,7,150,"Palm Springs, CA",,fy0oNIvtXlFVx1zmmXICEQ,https://www.yelp.com/user_details?userid=fy0oNIvtXlFVx1zmmXICEQ,,,,,eyJ2ZXJzaW9uIjoxLCJ0eXBlIjoib2Zmc2V0Iiwib2Zmc2V0Ijo5fQ,0,0,0,0
